id,logo_path,name,origin_country,movie_id
5237,/mlnr7vsBHvLye8oEb5A76C0t8x9.png,The Saul Zaentz Company,US,122
12,/2ycs64eqV5rqKYHyQK0GVoKGvfX.png,New Line Cinema,US,121
11,/6FAuASQHybRkZUk08p9PzSs9ezM.png,WingNut Films,NZ,121
5237,/mlnr7vsBHvLye8oEb5A76C0t8x9.png,The Saul Zaentz Company,US,121
2849,/cN3JNIKawjOMtfk0GBVIbsx69bg.png,BONES,JP,483455
6683,/reCkuk3GEomdx5gQpsm15Zl1sgX.png,Lantis,JP,483455
2073,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png,KADOKAWA,JP,483455
136217,/dBYuplhBgeOsGPQOI0LukWNbFWE.png,Bandai Namco Arts,JP,483455
6681,/s4RElEnQyM2VrHZCQ3jYemPdxML.png,THE KLOCKWORX,JP,483455
157001,/vDBycpPRLKBf7T0RQbQtU49BQO6.png,KADOKAWA Media House,JP,483455
60194,,Bandai Namco Live Creative,JP,483455
3466,/lmCg0zarmM52wrmsZRUY0QlPKLh.png,movic,JP,483455
87086,/eAjcgCH2cxuo0oEMqRwU3g0izTv.png,Sony Music Communications,JP,483455
9067,,Glovision,JP,483455
157807,/tyrJOOVAUIxQEJzjP1PhP2H5zFi.png,WOWOW,JP,483455
82819,/gXfFl9pRPaoaq14jybEn1pHeldr.png,Skydance Media,US,950396
162439,/h9hG1svKeylr9KqUOGmO4i3wRP0.png,Crooked Highway,US,950396
194232,/oE7H93u8sy5vvW5EH3fpCp68vvB.png,Apple Studios,US,950396
2785,/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png,Warner Bros. Animation,US,843906
1353,/yXhCcOFK5Fy3ZBQwhBYx8Zu9ZIw.png,Hanna-Barbera Cartoons,US,843906
5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US,137
9999,,Contra Film,RS,73861
10342,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png,Studio Ghibli,JP,128
1778,/b5rT6VbYza3LyfltCmz1OcqzWJM.png,dentsu,JP,128
1779,/41nGzTdCnORYZIZzaGZtfsBwQCl.png,Tokuma Shoten,JP,128
6755,/bWiM2iY82B32NGmPCOFatgfekIR.png,Nippon Television Network Corporation,JP,128
12516,,Nibariki,JP,128
67681,,TNDG,,128
10342,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png,Studio Ghibli,JP,129
1779,/41nGzTdCnORYZIZzaGZtfsBwQCl.png,Tokuma Shoten,JP,129
6755,/bWiM2iY82B32NGmPCOFatgfekIR.png,Nippon Television Network Corporation,JP,129
11847,/rZP0I1p3hZNUMNFPHUSal6rWThQ.png,Mitsubishi,JP,129
1778,/b5rT6VbYza3LyfltCmz1OcqzWJM.png,dentsu,JP,129
1780,/jdnvUiU7I3Uf2ig0VZNNjf0ORRL.png,TFC,JP,129
19813,,Flower Films,US,141
185,,Pandora Cinema,,141
28,/7tRG0ZsmtptmzPMKupd1FZkjtnn.png,Newmarket Films,US,141
10146,/xnFIOeq5cKw09kCWqV7foWDe4AA.png,Focus Features,US,142
1246,/s0doRYEVWp3a4Y4Cg7R4fE9cwov.png,River Road Entertainment,US,142
3997,,Alberta Film Entertainment,CA,142
371,/caz3eGyRd4OW7oR31Aij5ZwjOXD.png,Cecchi Gori Group Tiger Cinematografica,IT,450674
21,/usUnaYV6hQnlVAXP6r4HwrlLFPG.png,Metro-Goldwyn-Mayer,US,136
53,/3cWJikm9MdWCMKdatuk8gDTa5xy.png,Les Films du Carrosse,FR,147
10897,,Sédif Productions,FR,147
4811,/7xym5CnL4LcMPaWpp51cN1v73AR.png,Warner Premiere,US,123025
9993,/2Tc1P3Ac8M479naPp1kYT3izLS5.png,DC Entertainment,US,123025
2785,/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png,Warner Bros. Animation,US,123025
45,/tUkNOAjyTt9D56DUeQfmmAFvwYQ.png,Road Movies,DE,144
6116,/yCu2D15iD7lcYsBWqXjU65U9nkH.png,Argos films,FR,144
46,/3xFdKHLXPGHEbrAkmsepGE8974Y.png,WDR,DE,144
36229,,Wim Wenders Stiftung,DE,144
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,143
19177,,Red Granite Pictures,US,106646
562,/azANEzu3H3Kztzt63sdjvlzxhuB.png,Appian Way,US,106646
23243,/cBPyrhXhGKzxUdL4Fkg801HZ4W.png,Sikelia Productions,US,106646
14654,,EMJAG Productions,US,106646
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,155
923,/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png,Legendary Pictures,US,155
9996,/3tvBqYsBhxWeHlu62SIJ1el93O7.png,Syncopy,GB,155
429,/4Y00XuSMuP1gimd0jP6JT57QbCI.png,DC,US,155
53085,,First Sun,IT,41110
11912,,Mikado Film,IT,41110
3363,/sj3vD7n63bTCih7bcf6GnWvRf1Q.png,MBS,JP,149
10921,/mILVV3xSs3BOkXy85l1pXakLoKk.png,Sumitomo Corporation,JP,149
882,/fRSWWjquvzcHjACbtF53utZFIll.png,TOHO,JP,149
59118,/9nTCEBgGaaI5swkv8gy2vny0Mb5.png,Kodansha,JP,149
3069,/tpGaXEBassYaiEBvnJ7K5vchT50.png,Tokyo Movie Shinsha,JP,149
155586,/rogLuRSNdqLI9r29ZCzD0i0kfJW.png,Bandai,JP,149
13411,/5pzxTy7lWRCiruCNzwqtIYB3N43.png,Hakuhodo,JP,149
20750,/uk3CvZgyVxyjjqpHVQFvCp3ByXg.png,LaserDisc Corporation,JP,149
107,,Mr. Brown Entertainment,DE,158
